Application_Number,Parish,Description,Address,Occupancy_Type,Application_Type,FY,ISSUEDATE,District,Dwellings
16921121 7501,Bamford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7037 Libero Avenue,Open Market,COU,1997/98,21/12/1995,HPBC,1
16880616 4771,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer","2282 Lorem, Road",Open Market,COU,1997/98,21/01/1997,DDDC,1
16100706 1979,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer",Ap #203-9949 Massa. Rd.,Open Market,COU,1998/99,17/02/1999,DDDC,1
16300808 0016,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","972-1011 Amet, Av.",Open Market,COU,2000/01,14/12/1999,DDDC,1
16771115 6021,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 221, 9875 Aliquam Road",Open Market,COU,2011/12,20/12/2006,DDDC,1
16081115 6488,Bradfield,"Lorem ipsum dolor sit amet, consectetuer",390-6517 Id Road,Open Market,COU,1992/93,22/12/1987,SCC,1
16980115 0815,Ible,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",404 Molestie Road,Open Market,COU,1992/93,26/06/1990,DDDC,1
16321126 1551,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 424, 2373 Massa. Street",Open Market,COU,1991/92,21/12/1990,DDDC,1
16030428 2304,Sheffield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #701-3329 Nec St.,Open Market,COU,1997/98,16/04/1996,SCC,1
16200226 9476,Onecote,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5088 Morbi Av.,Open Market,COU,1999/00,28/01/1998,SMDC,1
16320126 0282,Grindleford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 879, 9033 Nunc Avenue",Open Market,COU,2010/11,27/01/2009,DDDC,1
16110220 8921,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 364, 6405 Tempus Avenue",Open Market,COU,1998/99,28/02/1997,DDDC,1
16751013 0979,Litton,"Lorem ipsum dolor sit amet, consectetuer",5633 Risus Ave,Open Market,COU,2000/01,24/02/1999,DDDC,1
16671129 0657,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer",Ap #241-6084 Pellentesque St.,Open Market,COU,1992/93,24/07/1992,DDDC,1
16190225 0107,Calver,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #687-3199 Magna Road,Open Market,COU,1995/96,20/05/1992,DDDC,1
16091015 8013,Eyam,"Lorem ipsum dolor sit amet, consectetuer",573-871 Metus. Street,Open Market,COU,1992/93,06/11/1990,DDDC,1
16560112 4919,Little Hucklow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",363-284 Luctus Street,Open Market,COU,1993/94,11/12/1989,DDDC,1
16380207 3787,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #514-7959 Morbi St.,Open Market,COU,2005/06,03/09/1999,DDDC,2
16011120 5506,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #156-5307 Quam Ave,Open Market,COU,2006/07,13/07/2006,DDDC,2
16120128 3437,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 528, 6354 Mauris Rd.",Open Market,COU,1991/92,09/08/1989,DDDC,2
16010815 9542,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing","880-8190 Quis, St.",Open Market,COU,2002/03,01/02/2000,DDDC,2
16440708 5325,Langsett,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",523-3439 Ut Rd.,Open Market,COU,1994/95,15/08/1988,BMBC,3
16210102 9045,Langsett,"Lorem ipsum dolor sit amet, consectetuer","145-9430 Et, Road",Open Market,COU,1995/96,15/08/1988,BMBC,1
16710922 0314,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",471-3437 Lacus. Rd.,Open Market,COU,2003/04,02/12/1992,DDDC,31
16030519 3419,Bamford,"Lorem ipsum dolor sit amet, consectetuer",Ap #266-2983 Tempor Road,Open Market,COU,2003/04,27/01/2003,HPBC,31
16900606 9745,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing",6428 Ac Road,Open Market,COU,1994/95,13/08/1993,DDDC,1
16600516 2703,Winster,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 174, 6926 Euismod Rd.",Open Market,COU,1993/94,18/08/1993,DDDC,1
16840612 6493,Warslow & Elkstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",694-8523 Velit. Rd.,Open Market,COU,1995/96,04/10/1993,SMDC,1
16110818 7970,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #694-1825 Nulla Street,Open Market,COU,1995/96,25/06/1991,DDDC,1
16240602 1572,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing","5356 Facilisis, Street",Open Market,COU,1992/93,25/06/1991,DDDC,1
16350922 6472,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4375 Magnis Road,Open Market,COU,1992/93,17/12/1991,DDDC,1
16690420 1008,Tissington,"Lorem ipsum dolor sit amet, consectetuer",753-7093 Elit Avenue,Open Market,COU,1994/95,22/06/1993,DDDC,2
16921122 4754,Bakewell,"Lorem ipsum dolor sit amet, consectetuer",2393 Dapibus Ave,Open Market,COU,1994/95,31/01/1994,DDDC,1
16900212 4528,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 842, 4874 Pellentesque, Street",Open Market,COU,1995/96,31/01/1994,DDDC,1
16730424 1354,Bakewell,"Lorem ipsum dolor sit amet, consectetuer",155-858 At St.,Open Market,COU,1992/93,09/04/1991,DDDC,7
16280212 5662,Tideswell,"Lorem ipsum dolor sit amet, consectetuer",Ap #317-8448 Eu Road,Open Market,COU,1992/93,06/12/1991,DDDC,6
16451213 5981,Tideswell,"Lorem ipsum dolor sit amet, consectetuer",845-8784 Quam St.,Open Market,COU,1993/94,06/12/1991,DDDC,4
16800617 9322,Castleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",3711 Dictum Ave,Open Market,COU,2002/03,31/01/1995,HPBC,1
16411104 0921,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",3462 Cras Av.,Open Market,COU,1997/98,31/03/1995,DDDC,1
16460803 2563,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 611, 209 Nec, Rd.",Open Market,COU,1996/97,28/03/1995,DDDC,1
16780423 3448,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing",893 Est Rd.,Open Market,COU,1991/92,22/12/1988,DDDC,1
16401229 2787,Aldwark,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7127 Adipiscing Rd.,Open Market,COU,1992/93,15/04/1987,DDDC,1
16791008 2648,Heathylee,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #408-4555 Rhoncus Rd.,Open Market,COU,1994/95,17/11/1993,SMDC,1
16310816 1765,Grindleford,"Lorem ipsum dolor sit amet, consectetuer",774-6716 Cras Ave,Open Market,COU,2009/10,14/04/2009,DDDC,1
16180117 2618,Parwich,"Lorem ipsum dolor sit amet, consectetuer","P.O. Box 321, 7025 Aliquam Rd.",Open Market,COU,2009/10,01/07/2009,DDDC,1
16200711 2358,Grindon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 494, 1030 Quis St.",Open Market,COU,2009/10,20/05/2009,SMDC,1
16650306 5184,Kettleshulme,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 330, 341 Consectetuer Rd.",Open Market,COU,2010/11,29/04/1993,MBC,1
16460622 8189,Grindleford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",5175 Nonummy Road,Open Market,COU,2010/11,14/04/2009,DDDC,-1
16720501 6269,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer",6153 Diam. Av.,Open Market,COU,2010/11,06/01/2010,DDDC,1
16220124 7513,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer",Ap #779-278 Euismod Rd.,Open Market,COU,2010/11,14/07/2010,DDDC,1
16500503 7667,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #790-9965 Dui. Av.,Open Market,COU,2010/11,09/07/2010,DDDC,1
16180517 4156,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8455 Integer Avenue,Open Market,COU,2010/11,18/10/2010,DDDC,-1
16760304 3873,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 545, 5130 Risus, Rd.",Holiday,COU,2010/11,18/10/2010,DDDC,2
16710620 3065,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",192-9184 Purus. Road,Open Market,COU,2011/12,08/06/2011,DDDC,1
16821018 8119,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",313 Dignissim. Street,Open Market,COU,2011/12,17/11/2011,DDDC,1
16790703 2408,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",347-3552 Non Street,Open Market,COU,2011/12,08/04/2009,DDDC,1
16250114 7488,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",2381 Volutpat. St.,Open Market,COU,2011/12,27/07/2006,DDDC,1
16071012 4843,Bradwell,"Lorem ipsum dolor sit amet, consectetuer","Ap #510-5959 Sapien, Street",Open Market,COU,2011/12,04/11/2009,DDDC,1
16900920 2244,Winster,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",638-8221 Eu Road,Open Market,COU,2011/12,09/11/2007,DDDC,1
16120130 4563,Grindleford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","7469 Dui, Street",Open Market,COU,2011/12,25/05/2010,DDDC,1
16190327 9824,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5976 Molestie Av.,Open Market,COU,2011/12,18/10/2010,DDDC,1
16111123 9404,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #515-823 Est. Av.,Open Market,COU,2011/12,22/03/2011,DDDC,4
16441212 1289,"Chinley, Buxworth & Brownside","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",828-9268 Sem Avenue,Open Market,COU,2011/12,19/10/2010,HPBC,1
16291006 3706,Castleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 796, 9396 Ac, St.",Open Market,CON,1991/92,25/08/1981,HPBC,1
16530103 5704,Thorpe,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",645-6358 Hendrerit Ave,Open Market,CON,2004/05,15/11/2002,DDDC,1
16910803 7210,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",4179 Ipsum Av.,Open Market,CON,2008/09,27/04/2007,DDDC,3
16250524 6229,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",670-5640 Dignissim Av.,Open Market,CON,2008/09,27/04/2007,DDDC,-1
16580210 8844,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 232, 6590 Auctor, Rd.",Open Market,CON,2009/10,23/07/2008,DDDC,3
16720130 0980,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing",194-6561 Pulvinar Street,Open Market,CON,2009/10,23/07/2008,DDDC,-1
16640330 9559,Tideswell,"Lorem ipsum dolor sit amet, consectetuer",606-3147 Phasellus Avenue,Open Market,CON,1997/98,08/08/1997,DDDC,-1
16930715 8775,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 698, 1316 Eu Avenue",Open Market,CON,1997/98,08/08/1997,DDDC,2
16311207 6645,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #929-4601 Nisi Street,Open Market,CON,2007/08,04/05/2007,DDDC,-1
16271014 4326,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1474 Nec Rd.,Open Market,CON,2007/08,04/05/2007,DDDC,2
16801106 4246,Winster,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #155-147 Purus. Street,Open Market,CON,1992/93,16/10/1981,DDDC,-1
16251227 2184,Winster,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","Ap #949-9453 Non, Street",Open Market,CON,1992/93,16/10/1981,DDDC,1
16180116 7121,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8793 Torquent Av.,Open Market,CON,1999/00,10/05/1999,DDDC,1
16771119 6951,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",3033 Dignissim. Street,Open Market,CON,1999/00,10/05/1999,DDDC,-1
16461029 4599,Brough & Shatton,"Lorem ipsum dolor sit amet, consectetuer",280-8694 Natoque St.,Open Market,CON,1993/94,23/12/1992,HPBC,1
16170307 8228,Castleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",988 Nullam Ave,Open Market,CON,2010/11,21/09/2005,HPBC,2
16361022 1099,Castleton,"Lorem ipsum dolor sit amet, consectetuer",6997 Erat St.,Open Market,CON,2010/11,21/09/2005,HPBC,-1
16120813 9954,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",332 Et Av.,Open Market,CON,2009/10,11/04/2006,DDDC,2
16770914 9301,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",496-5836 Odio St.,Open Market,CON,2009/10,11/04/2006,DDDC,-1
16550214 5476,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #724-4824 Bibendum. Rd.,Open Market,CON,2008/09,15/04/2008,DDDC,2
16060827 3405,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 821, 4621 Mi Road",Open Market,CON,2008/09,15/04/2008,DDDC,-1
16691111 9003,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9950 Neque. Street,Open Market,CON,2001/02,07/04/1997,DDDC,2
16560105 0684,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing","1971 Imperdiet, Ave",Open Market,CON,2001/02,07/04/1997,DDDC,-1
16490808 8596,Tintwistle,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 517, 8193 Scelerisque St.",Open Market,CON,2002/03,08/05/2001,HPBC,2
16241104 5665,Tintwistle,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9942 Libero Av.,Open Market,CON,2002/03,08/05/2001,HPBC,-1
16730127 4267,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #823-1627 Pellentesque. St.,Open Market,CON,2008/09,22/08/2006,DDDC,2
16100305 3186,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 625, 7679 Sed Avenue",Open Market,CON,2008/09,22/08/2006,DDDC,-1
16400919 8336,Calver,"Lorem ipsum dolor sit amet, consectetuer",7008 Lorem Road,Open Market,CON,2008/09,11/09/2007,DDDC,2
16180817 3015,Calver,"Lorem ipsum dolor sit amet, consectetuer adipiscing","7130 Pede, Rd.",Open Market,CON,2008/09,11/09/2007,DDDC,-1
16060724 5545,Longnor,"Lorem ipsum dolor sit amet, consectetuer",Ap #929-852 Sit Rd.,Open Market,CON,2001/02,23/10/1997,SMDC,2
16140804 3568,Longnor,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 101, 8156 Curabitur Av.",Open Market,CON,2001/02,23/10/1997,SMDC,-1
16421103 1937,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","484-7318 Ut, Rd.",Open Market,CON,2004/05,16/06/2004,DDDC,2
16550324 0458,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #966-897 Imperdiet St.,Open Market,CON,2004/05,16/06/2004,DDDC,-1
16731016 3857,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",9398 Molestie St.,Open Market,CON,2004/05,27/09/2004,DDDC,2
16960311 1700,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 669, 2499 Et Av.",Open Market,CON,2004/05,27/09/2004,DDDC,-1
16760619 6140,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",2250 Tincidunt. Street,Open Market,CON,2008/09,14/11/2006,DDDC,2
16220821 1041,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",149 Nisl St.,Open Market,CON,2008/09,14/11/2006,DDDC,-1
16921121 7501,Peak Forest,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7037 Libero Avenue,Open Market,CON,2000/01,04/01/1999,HPBC,2
16880616 4771,Peak Forest,"Lorem ipsum dolor sit amet, consectetuer","2282 Lorem, Road",Open Market,CON,2000/01,04/01/1999,HPBC,-1
16100706 1979,Bakewell,"Lorem ipsum dolor sit amet, consectetuer",Ap #203-9949 Massa. Rd.,Open Market,CON,2005/06,19/01/2006,DDDC,2
16300808 0016,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","972-1011 Amet, Av.",Open Market,CON,2005/06,19/01/2006,DDDC,-1
16771115 6021,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 221, 9875 Aliquam Road",Open Market,CON,2008/09,07/02/2007,DDDC,-1
16081115 6488,Bradwell,"Lorem ipsum dolor sit amet, consectetuer",390-6517 Id Road,Open Market,CON,2008/09,07/02/2007,DDDC,2
16980115 0815,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",404 Molestie Road,Open Market,CON,1994/95,28/08/1992,DDDC,2
16321126 1551,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 424, 2373 Massa. Street",Open Market,CON,2010/11,09/12/2008,DDDC,1
16030428 2304,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #701-3329 Nec St.,Open Market,CON,2011/12,09/12/2008,DDDC,1
16200226 9476,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5088 Morbi Av.,Open Market,CON,2009/10,09/12/2008,DDDC,1
16320126 0282,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 879, 9033 Nunc Avenue",Open Market,CON,1991/92,14/10/1986,DDDC,-2
16110220 8921,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 364, 6405 Tempus Avenue",Open Market,CON,1991/92,14/10/1986,DDDC,3
16751013 0979,Bakewell,"Lorem ipsum dolor sit amet, consectetuer",5633 Risus Ave,Open Market,CON,2003/04,09/07/2003,DDDC,3
16671129 0657,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer",Ap #241-6084 Pellentesque St.,Open Market,CON,1991/92,24/11/1988,DDDC,3
16190225 0107,Grindleford,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #687-3199 Magna Road,Open Market,CON,1998/99,06/10/1997,DDDC,6
16091015 8013,Grindleford,"Lorem ipsum dolor sit amet, consectetuer",573-871 Metus. Street,Open Market,CON,1998/99,06/10/1997,DDDC,-2
16560112 4919,Hayfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",363-284 Luctus Street,Open Market,CON,1994/95,18/08/1989,HPBC,6
16380207 3787,Hayfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #514-7959 Morbi St.,Open Market,CON,1994/95,18/08/1989,HPBC,-1
16011120 5506,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #156-5307 Quam Ave,Open Market,CON,2002/03,30/04/2001,DDDC,6
16120128 3437,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 528, 6354 Mauris Rd.",Open Market,CON,2002/03,30/04/2001,DDDC,-2
16010815 9542,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing","880-8190 Quis, St.",Open Market,CON,2006/07,02/05/2006,DDDC,3
16440708 5325,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",523-3439 Ut Rd.,Open Market,CON,2006/07,02/05/2006,DDDC,-1
16210102 9045,Castleton,"Lorem ipsum dolor sit amet, consectetuer","145-9430 Et, Road",Open Market,CON,1997/98,28/03/1994,HPBC,1
16710922 0314,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",471-3437 Lacus. Rd.,Open Market,CON,1992/93,05/07/1991,DDDC,2
16030519 3419,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer",Ap #266-2983 Tempor Road,Open Market,CON,1992/93,05/07/1991,DDDC,-1
16900606 9745,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",6428 Ac Road,Open Market,CON,2007/08,05/01/2005,DDDC,7
16600516 2703,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 174, 6926 Euismod Rd.",Open Market,CON,2007/08,05/01/2005,DDDC,-1
16840612 6493,Foolow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",694-8523 Velit. Rd.,Open Market,CON,1997/98,22/11/1994,DDDC,2
16110818 7970,Foolow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #694-1825 Nulla Street,Open Market,CON,1997/98,22/11/1994,DDDC,-1
16240602 1572,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing","5356 Facilisis, Street",Open Market,CON,2007/08,17/04/2007,DDDC,2
16350922 6472,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4375 Magnis Road,Open Market,CON,2007/08,17/04/2007,DDDC,-1
16690420 1008,Eyam,"Lorem ipsum dolor sit amet, consectetuer",753-7093 Elit Avenue,Open Market,CON,2008/09,01/03/1999,DDDC,1
16921122 4754,Eyam,"Lorem ipsum dolor sit amet, consectetuer",2393 Dapibus Ave,Open Market,CON,2009/10,01/03/1999,DDDC,1
16900212 4528,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 842, 4874 Pellentesque, Street",Open Market,CON,2004/05,01/03/1999,DDDC,-1
16730424 1354,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer",155-858 At St.,Open Market,CON,2010/11,26/05/2005,DDDC,1
16280212 5662,Bakewell,"Lorem ipsum dolor sit amet, consectetuer",Ap #317-8448 Eu Road,Open Market,CON,2010/11,23/09/2009,DDDC,1
16451213 5981,Bradwell,"Lorem ipsum dolor sit amet, consectetuer",845-8784 Quam St.,Open Market,CON,2010/11,04/02/2010,DDDC,1
16800617 9322,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing",3711 Dictum Ave,Open Market,CON,2010/11,23/12/2009,DDDC,1
16411104 0921,Leekfrith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",3462 Cras Av.,Open Market,CON,2010/11,05/02/2010,SMDC,-1
16460803 2563,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 611, 209 Nec, Rd.",Open Market,CON,2011/12,31/10/2007,DDDC,1
16780423 3448,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing",893 Est Rd.,Open Market,CON,2011/12,01/03/1999,DDDC,4
16401229 2787,Hathersage,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7127 Adipiscing Rd.,Open Market,NEW,2011/12,16/07/2008,DDDC,1
16791008 2648,Hathersage,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #408-4555 Rhoncus Rd.,Open Market,NEW,2011/12,16/07/2008,DDDC,-1
16310816 1765,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer",774-6716 Cras Ave,Open Market,NEW,2008/09,10/10/2008,DDDC,1
16180117 2618,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer","P.O. Box 321, 7025 Aliquam Rd.",Open Market,NEW,2008/09,10/10/2008,DDDC,-1
16200711 2358,Rainow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 494, 1030 Quis St.",Open Market,NEW,1994/95,12/07/1993,MBC,-3
16650306 5184,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 330, 341 Consectetuer Rd.",Open Market,NEW,2010/11,06/03/2007,DDDC,1
16460622 8189,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",5175 Nonummy Road,Open Market,NEW,1994/95,20/09/1988,DDDC,2
16720501 6269,Hope With Aston,"Lorem ipsum dolor sit amet, consectetuer",6153 Diam. Av.,Open Market,NEW,2007/08,04/07/2005,HPBC,1
16220124 7513,Hope With Aston,"Lorem ipsum dolor sit amet, consectetuer",Ap #779-278 Euismod Rd.,Open Market,NEW,2007/08,04/07/2005,HPBC,-1
16500503 7667,Tissington,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #790-9965 Dui. Av.,Open Market,NEW,2007/08,22/12/2005,DDDC,1
16180517 4156,Tissington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8455 Integer Avenue,Open Market,NEW,2007/08,22/12/2005,DDDC,-1
16760304 3873,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 545, 5130 Risus, Rd.",Open Market,NEW,2004/05,16/04/2002,DDDC,1
16710620 3065,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",192-9184 Purus. Road,Open Market,NEW,2004/05,16/04/2002,DDDC,-1
16821018 8119,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",313 Dignissim. Street,Open Market,NEW,2010/11,21/05/2008,DDDC,1
16790703 2408,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",347-3552 Non Street,Open Market,NEW,2010/11,21/05/2008,DDDC,-1
16250114 7488,Chinley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",2381 Volutpat. St.,Open Market,NEW,1998/99,17/07/1996,HPBC,1
16071012 4843,Chinley,"Lorem ipsum dolor sit amet, consectetuer","Ap #510-5959 Sapien, Street",Open Market,NEW,1998/99,17/07/1996,HPBC,-1
16900920 2244,Foolow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",638-8221 Eu Road,Open Market,NEW,2008/09,05/08/2005,DDDC,1
16120130 4563,Foolow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","7469 Dui, Street",Open Market,NEW,2008/09,05/08/2005,DDDC,-1
16190327 9824,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5976 Molestie Av.,Open Market,NEW,2009/10,29/07/2008,DDDC,1
16111123 9404,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #515-823 Est. Av.,Open Market,NEW,2009/10,29/07/2008,DDDC,-1
